class_number,cluster_rep_sequence_accession,family_label_ncbi_2021,families_in_class_2021,family_label_ncbi_2023,sequences_per_class,sequences_percent,max_length,mean_length,std_length,kmers_per_class,kmers_percent,protein_description,protein_function_class,host,molecule_type,genus
491,QRE02502.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,132,0.012843627857828823,598.0,553.7,60.63,1772,0.009,BVRF1,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
492,QOS02566.1,Caliciviridae,Caliciviridae,Caliciviridae,131,0.012746327646784666,1701.0,1258.76,668.96,6573,0.034,polyprotein,Non-structural,Mus musculus,ssRNA(+),Norovirus
493,QPB10704.1,Astroviridae,Astroviridae,Astroviridae,131,0.012746327646784666,1660.0,324.07,299.17,755,0.004,RNA-dependent RNA polymerase,Replication-Transcription,Meleagris gallopavo,ssRNA(+),Avastrovirus
494,WP_016023246.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,131,0.012746327646784666,707.0,423.67,208.17,1301,0.007,capsid scaffold protein,Structural-Envelope,Homo sapiens,dsDNA,Varicellovirus
495,YP_009255312.1,Baculoviridae,Baculoviridae,Baculoviridae,131,0.012746327646784666,562.0,462.73,41.86,1142,0.006,LEF-4,Other-Functions,Chrysodeixis includens,dsDNA,Alphabaculovirus
496,YP_008658501.1,Poxviridae,Poxviridae,Poxviridae,130,0.012649027435740508,791.0,751.95,140.27,3098,0.016,NTPase,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
497,AWO71750.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,130,0.012649027435740508,676.0,508.79,107.98,1472,0.008,tegument protein UL21,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
498,NP_612725.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,130,0.012649027435740508,606.0,575.36,63.74,1857,0.01,DNA packaging tegument protein UL17,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
499,YP_249762.1,Reoviridae,Reoviridae,Spinareoviridae,129,0.01255172722469635,1470.0,1411.4,227.68,7281,0.038,P1,Replication-Transcription,Zea mays,dsRNA,Fijivirus
500,YP_009389359.1,Poxviridae,Poxviridae,Poxviridae,129,0.01255172722469635,638.0,598.57,114.06,2034,0.011,CPXV128 protein,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
501,QGM48758.1,Poxviridae,Poxviridae,Poxviridae,128,0.012454427013652193,1953.0,1773.77,401.45,9517,0.05,hypothetical protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
502,YP_009552473.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,128,0.012454427013652193,1219.0,1060.04,239.68,4975,0.026,BALF2,DNA-Binding,Homo sapiens,dsDNA,Lymphocryptovirus
503,AGV92854.1,Retroviridae,Retroviridae-Poxviridae,Retroviridae,128,0.012454427013652193,609.0,443.4,176.94,1178,0.006,envelope glycoprotein,Structural-Envelope,Gallus gallus,ssRNA-RT,Gammaretrovirus
504,ANN83939.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,128,0.012454427013652193,536.0,455.14,74.9,1062,0.006,tegument host shutoff protein,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
505,YP_006666504.1,Dicistroviridae,Dicistroviridae,Dicistroviridae,127,0.012357126802608037,1030.0,458.07,224.89,1173,0.006,capsid protein 2,Structural-Envelope,Penaeidae,ssRNA(+),Aparavirus
506,QLC36818.1,Partitiviridae,Partitiviridae,Partitiviridae,127,0.012357126802608037,775.0,691.6,113.5,2575,0.013,RNA-dependent RNA polymerase,Replication-Transcription,Rosellinia necatrix,dsRNA,Betapartitivirus
507,NP_612708.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,127,0.012357126802608037,767.0,684.2,178.06,2665,0.014,envelope glycoprotein H,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
508,YP_009507388.1,Parvoviridae,Parvoviridae,Parvoviridae,127,0.012357126802608037,679.0,598.57,145.4,2065,0.011,nonstructural protein,Non-structural,Sus scrofa,ssDNA(+/-),Tetraparvovirus
509,DAC85375.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,127,0.012357126802608037,557.0,484.83,139.38,1330,0.007,US8,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
510,YP_009325844.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,127,0.012357126802608037,525.0,419.44,103.91,940,0.005,major capsid protein VP54,Structural-Envelope,Chlorella heliozoae,dsDNA,Chlorovirus
511,ALN38790.1,Potyviridae,Potyviridae,Potyviridae,126,0.012259826591563876,3174.0,679.41,986.03,2790,0.015,polyprotein,Polyprotein,Cucumis sativus,ssRNA(+),Ipomovirus
512,AVP32822.1,Hepeviridae,Hepeviridae,Hepeviridae,126,0.012259826591563876,666.0,575.81,149.78,1904,0.01,capsid protein,Structural-Envelope,Rattus norvegicus,ssRNA(+),Avihepevirus
513,YP_009112869.1,Poxviridae,Poxviridae,Poxviridae,125,0.01216252638051972,504.0,445.51,36.0,965,0.005,Ser/Thr kinase,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
514,YP_009824971.1,Coronaviridae,Coronaviridae,Coronaviridae,125,0.01216252638051972,433.0,352.28,87.54,509,0.003,nucleocapsid protein,Other-Functions,Homo sapiens,ssRNA(+),Alphacoronavirus
515,AAF26709.1,Matonaviridae,Matonaviridae,Matonaviridae,124,0.01206522616947556,2129.0,1594.19,821.24,8089,0.042,non-structural polyprotein p200,Non-structural,Homo sapiens,ssRNA(+),Rubivirus
516,AKI19639.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,124,0.01206522616947556,986.0,973.2,73.26,4277,0.022,tegument protein UL37,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
517,QBI22252.1,Fimoviridae,Fimoviridae,Fimoviridae,124,0.01206522616947556,528.0,472.25,18.23,1151,0.006,p7,Hypothetical,Rosa sp.,ssRNA(-),Emaravirus
518,QBH77804.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,124,0.01206522616947556,522.0,453.35,63.19,1074,0.006,capsid triplex subunit 1,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
519,YP_008136231.1,Reoviridae,Reoviridae,Sedoreoviridae,123,0.011967925958431404,991.0,795.93,277.4,3183,0.017,VP2,Other-Functions,Sus scrofa,dsRNA,Rotavirus
520,AYA49857.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,123,0.011967925958431404,621.0,491.2,164.59,1407,0.007,BVRF2,Hypothetical,Homo sapiens,dsDNA,Lymphocryptovirus
521,QJQ40211.1,Poxviridae,Poxviridae,Poxviridae,123,0.011967925958431404,468.0,381.86,34.69,606,0.003,hypothetical protein,Hypothetical,Homo sapiens,dsDNA,Orthopoxvirus
522,QBH77810.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,123,0.011967925958431404,462.0,415.25,24.01,751,0.004,UL43,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
523,YP_081515.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,122,0.011870625747387247,850.0,803.33,164.32,3169,0.017,DNA packaging terminase subunit 2,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
524,AFU08308.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,122,0.011870625747387247,837.0,551.57,125.96,1626,0.008,BBRF1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
525,AMB65754.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,122,0.011870625747387247,651.0,448.79,71.68,1000,0.005,envelope glycoprotein M,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
526,YP_010085845.1,Poxviridae,Poxviridae,Poxviridae,122,0.011870625747387247,569.0,478.52,168.86,1364,0.007,kelch-like protein,Hypothetical,Homo sapiens,dsDNA,Orthopoxvirus
527,NP_612671.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,121,0.01177332553634309,640.0,572.38,103.01,1743,0.009,protein UL27,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
528,QHX39861.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,121,0.01177332553634309,489.0,472.31,5.83,1087,0.006,protein UL13,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
529,YP_009112862.1,Poxviridae,Poxviridae,Poxviridae,120,0.01167602532529893,571.0,471.12,139.68,1303,0.007,ankyrin/F-box protein,Other-Functions,Capra hircus,dsDNA,Parapoxvirus
530,QFU18869.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,120,0.01167602532529893,545.0,499.21,55.54,1298,0.007,BFLF1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
531,YP_009507723.1,Reoviridae,Reoviridae,Sedoreoviridae,120,0.01167602532529893,519.0,486.2,62.42,1202,0.006,outer capsid protein,Other-Functions,Equus caballus,dsRNA,Orbivirus
532,AWV66923.1,Tobaniviridae,Tobaniviridae,Tobaniviridae,119,0.011578725114254772,6857.0,1389.98,2200.24,6909,0.036,polyprotein 1a,Polyprotein,Sus scrofa,ssRNA(+),Torovirus
533,NP_068342.1,Tombusviridae,Tombusviridae,Tombusviridae,119,0.011578725114254772,992.0,744.71,286.03,2814,0.015,RNA-dependent RNA polymerase,Replication-Transcription,Zea mays,ssRNA(+),Machlomovirus
534,AKI19523.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,119,0.011578725114254772,686.0,664.08,79.03,2264,0.012,protein UL112,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
535,YP_010085700.1,Poxviridae,Poxviridae,Poxviridae,119,0.011578725114254772,475.0,362.68,149.27,760,0.004,CPXV039 protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
536,NP_038453.1,Tombusviridae,Tombusviridae-Solemoviridae,Tombusviridae,118,0.011481424903210614,888.0,580.66,258.42,1912,0.01,RNA-dependent RNA polymerase,Replication-Transcription,Jasminum sambac,ssRNA(+),Alphacarmovirus
537,AQN73081.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,118,0.011481424903210614,877.0,865.97,70.56,3384,0.018,helicase-primase subunit,Replication-Transcription,Homo sapiens,dsDNA,Cytomegalovirus
538,NP_599247.1,Nodaviridae,Nodaviridae,Nodaviridae,117,0.011384124692166457,983.0,653.35,383.55,2377,0.012,RNA-dependent RNA polymerase,Replication-Transcription,Dicentrarchus labrax,ssRNA(+),Betanodavirus
539,YP_009162462.1,Poxviridae,Poxviridae,Poxviridae,117,0.011384124692166457,736.0,621.57,78.33,1925,0.01,m81R,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
540,YP_005090504.1,Parvoviridae,Parvoviridae,Parvoviridae,117,0.011384124692166457,692.0,556.69,143.37,1559,0.008,nonstructural protein,Non-structural,Sus scrofa,ssDNA(+/-),Tetraparvovirus
541,YP_010086617.1,Baculoviridae,Baculoviridae,Baculoviridae,117,0.011384124692166457,510.0,474.05,15.41,1088,0.006,P49,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
542,AST24354.1,Closteroviridae,Closteroviridae,Closteroviridae,117,0.011384124692166457,478.0,460.32,50.49,985,0.005,divergent coat protein,Structural-Envelope,Vitis vinifera,ssRNA(+),Ampelovirus
543,QIX04702.1,Bornaviridae,Bornaviridae,Bornaviridae,116,0.0112868244811223,1737.0,1359.75,623.33,6331,0.033,polymerase,Replication-Transcription,Callosciurus prevostii,ssRNA(-),Orthobornavirus
544,AYD61665.1,Totiviridae,Totiviridae,Totiviridae,116,0.0112868244811223,1640.0,630.64,326.53,2259,0.012,RNA-dependent RNA polymerase,Replication-Transcription,Leishmania guyanensis,dsRNA,Leishmaniavirus
545,NP_612719.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,116,0.0112868244811223,1386.0,1239.22,359.53,5577,0.029,major capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
546,YP_009133219.1,Baculoviridae,Baculoviridae,Baculoviridae,116,0.0112868244811223,760.0,673.76,65.68,2236,0.012,ODV-E66,Other-Functions,Spodoptera frugiperda,dsDNA,Alphabaculovirus
547,AQN73394.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,116,0.0112868244811223,648.0,630.49,14.82,1951,0.01,DNA packaging tegument protein UL25,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
548,QSR83623.1,Tobaniviridae,Tobaniviridae,Tobaniviridae,115,0.011189524270078141,1587.0,816.21,681.23,3345,0.017,spike protein,Structural-Envelope,Sus scrofa,ssRNA(+),Torovirus
549,DAB41733.1,Amalgaviridae,Amalgaviridae-Totiviridae,Amalgaviridae,115,0.011189524270078141,1071.0,652.61,369.51,2204,0.012,fusion protein,Structural-Envelope,Solanum lycopersicum,dsRNA,Amalgavirus
550,WP_016053677.1,Baculoviridae,Baculoviridae-Poxviridae-Ascoviridae,Baculoviridae,115,0.011189524270078141,530.0,384.63,137.98,849,0.004,alkaline exonuclease,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
551,QBH79984.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,114,0.011092224059033984,848.0,395.68,155.24,632,0.003,RL2_3-ICP0 (Infected Cell Protein 0),Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
552,ACA42573.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,114,0.011092224059033984,841.0,724.22,173.43,2494,0.013,polymerase,Replication-Transcription,Anas platyrhynchos,dsDNA-RT,Avihepadnavirus
553,3OWG_A,Poxviridae,Poxviridae,Poxviridae,114,0.011092224059033984,480.0,449.25,97.18,985,0.005,poly(A) polymerase large subunit,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
554,AIT53896.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,113,0.010994923847989826,840.0,796.82,66.07,2799,0.015,ORF11,Other-Functions,Homo sapiens,dsDNA,Varicellovirus
555,YP_009143489.1,Poxviridae,Poxviridae,Poxviridae,113,0.010994923847989826,565.0,537.93,83.78,1410,0.007,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
556,AWY10942.1,Partitiviridae,Partitiviridae-Picobirnaviridae,Partitiviridae,113,0.010994923847989826,553.0,431.35,137.52,886,0.005,RNA-dependent RNA polymerase,Replication-Transcription,Pseudogymnoascus destructans,dsRNA,Gammapartitivirus
557,AMB66090.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,112,0.010897623636945668,605.0,478.96,99.39,1085,0.006,UL54,Regulation-Control,Homo sapiens,dsDNA,Simplexvirus
558,YP_081532.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,112,0.010897623636945668,587.0,561.8,60.41,1547,0.008,protein UL84,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
559,NP_612688.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,111,0.01080032342590151,945.0,873.1,126.32,3270,0.017,ribonucleotide reductase subunit 1,Other-Functions,Homo sapiens,dsDNA,Cytomegalovirus
560,QIQ51177.1,Reoviridae,Reoviridae,Sedoreoviridae,111,0.01080032342590151,616.0,541.77,57.93,1416,0.007,NS1,Other-Functions,Equus caballus,dsRNA,Orbivirus
561,YP_009508759.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,111,0.01080032342590151,584.0,507.04,76.28,1233,0.006,L2,Other-Functions,Homo sapiens,dsDNA,Betapapillomavirus
562,YP_009268831.1,Poxviridae,Poxviridae,Poxviridae,111,0.01080032342590151,435.0,410.31,75.12,736,0.004,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
563,AXN75247.1,Poxviridae,Poxviridae,Poxviridae,110,0.010703023214857353,679.0,552.88,171.31,1542,0.008,CPXV027 protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
564,YP_009507926.1,Fimoviridae,Fimoviridae,Fimoviridae,110,0.010703023214857353,653.0,532.55,209.83,1536,0.008,putative glycoprotein p2,Glycoprotein,Rosa sp.,ssRNA(-),Emaravirus
565,NP_624332.2,Totiviridae,Totiviridae-Partitiviridae,Totiviridae,176,0.017124837143771766,1601.0,679.2,276.78,3659,0.019,RNA-dependent RNA polymerase,Replication-Transcription,Pyricularia oryzae,dsRNA,Victorivirus
566,QHW06094.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,109,0.010605723003813195,1492.0,558.72,571.66,1796,0.009,ICP4,Replication-Transcription,Gallus gallus,dsDNA,Iltovirus
567,BAM75921.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,108,0.010508422792769038,1216.0,553.89,272.46,1541,0.008,envelope glycoprotein,Structural-Envelope,Equus caballus,dsDNA,Varicellovirus
568,AZL89935.1,Mimiviridae,Mimiviridae,Mimiviridae,108,0.010508422792769038,549.0,411.03,107.5,715,0.004,hypothetical protein,Other-Functions,Acanthamoeba castellanii,dsDNA,Mimivirus
569,YP_009325603.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,106,0.010313822370680722,1506.0,1251.0,340.37,5097,0.027,Chlorovirus glycoprotein repeat domain-containing protein,Glycoprotein,Chlorella variabilis,dsDNA,Chlorovirus
570,AYV76052.1,Mimiviridae,Mimiviridae-Phycodnaviridae-Marseilleviridae-Poxviridae-Nimaviridae,Mimiviridae,105,0.010216522159636565,1067.0,607.5,256.07,1844,0.01,Hsp70 protein,Stress-Response,Acanthamoeba castellanii,dsDNA,Mimivirus
571,YP_009551696.1,Mesoniviridae,Mesoniviridae-Coronaviridae,Mesoniviridae,104,0.010119221948592407,5365.0,2655.97,1445.08,12397,0.065,ORF2,Polyprotein,Culex quinquefasciatus,ssRNA(+),Alphamesonivirus
572,AVR53748.1,Parvoviridae,Parvoviridae,Parvoviridae,104,0.010119221948592407,712.0,616.99,86.0,1680,0.009,minor capsid protein,Structural-Envelope,Gallus gallus,ssDNA(+/-),Aveparvovirus
573,NP_612745.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,104,0.010119221948592407,598.0,561.23,61.13,1454,0.008,regulatory protein IE2,Regulation-Control,Homo sapiens,dsDNA,Cytomegalovirus
574,AXU44617.1,Secoviridae,Secoviridae,Secoviridae,103,0.01002192173754825,3544.0,815.82,1171.46,2972,0.016,coat protein 1,Structural-Envelope,Oryza sativa,ssRNA(+),Waikavirus
575,YP_007506946.1,Solemoviridae,Solemoviridae,Solemoviridae,103,0.01002192173754825,1018.0,669.57,187.6,1965,0.01,RNA-dependent RNA polymerase,Replication-Transcription,Oryza sativa,ssRNA(+),Sobemovirus
576,AXF38732.1,Reoviridae,Reoviridae,Sedoreoviridae,103,0.01002192173754825,784.0,566.93,207.58,1494,0.008,VP4,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus
577,YP_004821536.1,Poxviridae,Poxviridae,Poxviridae,103,0.01002192173754825,603.0,528.23,124.69,1288,0.007,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
578,BCS83056.1,Phycodnaviridae,Phycodnaviridae-Mimiviridae-Marseilleviridae-Iridoviridae-Poxviridae,Phycodnaviridae,102,0.00992462152650409,1296.0,1015.28,277.56,3716,0.019,DNA topoisomerase II,Other-Functions,Acanthamoeba castellanii,dsDNA,Chlorovirus
579,YP_249673.1,Baculoviridae,Baculoviridae-Ascoviridae,Baculoviridae,166,0.016151835033330186,635.0,432.53,130.75,1357,0.007,BRO-B,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
580,ASZ83554.1,Partitiviridae,Partitiviridae,Partitiviridae,102,0.00992462152650409,624.0,548.85,120.64,1353,0.007,RNA-dependent RNA polymerase,Replication-Transcription,Heterobasidion parviporum,dsRNA,Alphapartitivirus
581,AJA04925.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,102,0.00992462152650409,503.0,472.12,76.87,975,0.005,capsid protein,Structural-Envelope,Brassica oleracea var. botrytis,dsDNA-RT,Caulimovirus
582,YP_001129505.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,102,0.00992462152650409,469.0,468.02,5.37,914,0.005,LF1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
583,YP_009109556.3,Arteriviridae,Arteriviridae,Arteriviridae,101,0.009827321315459932,3595.0,2296.13,822.43,10110,0.053,polyprotein,Other-Functions,Piliocolobus tephrosceles,ssRNA(+),Zetaarterivirus
584,QVY10319.1,Reoviridae,Reoviridae,Spinareoviridae,101,0.009827321315459932,471.0,410.73,115.31,726,0.004,sigma 1,Cellular-Regulation,Sus scrofa,dsRNA,Orthoreovirus
585,WP_016069857.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,100,0.009730021104415775,943.0,885.59,209.07,3210,0.017,protein UL87,Hypothetical,Homo sapiens,dsDNA,Cytomegalovirus
586,QRG29177.1,Partitiviridae,Partitiviridae-Picobirnaviridae,Partitiviridae,100,0.009730021104415775,500.0,417.45,106.21,702,0.004,RNA-dependent RNA polymerase,Replication-Transcription,Capsicum annuum,dsRNA,Deltapartitivirus
587,YP_009352912.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,99,0.009632720893371619,782.0,715.42,134.03,2141,0.011,helicase-primase subunit,Replication-Transcription,Equus caballus,dsDNA,Varicellovirus
588,QBR53290.1,Solemoviridae,Solemoviridae-Tombusviridae,Solemoviridae,99,0.009632720893371619,668.0,609.71,44.48,1606,0.008,P1 protein,Other-Functions,Brassica napus,ssRNA(+),Polerovirus
589,7NT5_A,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,98,0.00953542068232746,539.0,404.06,173.12,776,0.004,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-),Henipavirus
590,NP_733875.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,98,0.00953542068232746,508.0,506.08,1.45,1076,0.006,BGLF1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
591,YP_009133271.1,Baculoviridae,Baculoviridae,Baculoviridae,97,0.009438120471283302,908.0,826.71,53.65,2591,0.014,viral capsid associated protein,Other-Functions,Bombyx mori,dsDNA,Alphabaculovirus
592,NP_054007.4,Tombusviridae,Tombusviridae-Solemoviridae,Tombusviridae,97,0.009438120471283302,882.0,636.51,298.37,1837,0.01,RNA-dependent RNA polymerase,Replication-Transcription,Pisum sativum,ssRNA(+),Umbravirus
593,YP_009111421.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,97,0.009438120471283302,817.0,531.79,275.56,1308,0.007,large T antigen,Other-Functions,Homo sapiens,dsDNA,Alphapolyomavirus
594,QBH66128.1,Baculoviridae,Baculoviridae,Baculoviridae,97,0.009438120471283302,798.0,683.0,107.44,1957,0.01,ODV-E66,Structural-Envelope,Bombyx mori,dsDNA,Alphabaculovirus
595,AWC26950.1,Sinhaliviridae,Sinhaliviridae,Sinhaliviridae,96,0.009340820260239144,862.0,472.6,327.94,1175,0.006,Orf1,Other-Functions,Apis mellifera,ssRNA(+),Sinaivirus
596,YP_009259388.1,Iridoviridae,Iridoviridae,Iridoviridae,96,0.009340820260239144,646.0,443.1,146.69,862,0.005,hypothetical protein,Other-Functions,Ambystoma tigrinum,dsDNA,Ranavirus
597,QED42772.1,Potyviridae,Potyviridae,Potyviridae,95,0.009243520049194986,916.0,802.31,141.49,2459,0.013,polyprotein,Polyprotein,Triticum aestivum,ssRNA(+),Bymovirus
598,YP_010087001.1,Potyviridae,Potyviridae,Potyviridae,94,0.009146219838150829,3019.0,725.89,865.15,2168,0.011,polyprotein,Polyprotein,Elettaria cardamomum,ssRNA(+),Macluravirus
599,QJE50384.1,Reoviridae,Reoviridae,Spinareoviridae,94,0.009146219838150829,452.0,380.35,98.76,500,0.003,sigma-2 protein,Cellular-Regulation,Sus scrofa,dsRNA,Orthoreovirus
600,AYD75927.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,93,0.009048919627106671,1893.0,1355.34,773.38,5105,0.027,replicase,Replication-Transcription,Malus domestica,ssRNA(+),Trichovirus
601,AJR29268.1,Iridoviridae,Iridoviridae,Iridoviridae,93,0.009048919627106671,1247.0,1104.68,227.91,3822,0.02,DNA-dependent RNA polymerase II second largest subunit domain 6,Replication-Transcription,Ambystoma tigrinum,dsDNA,Ranavirus
602,YP_009551832.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,93,0.009048919627106671,782.0,593.59,239.23,1533,0.008,glycoprotein H,Glycoprotein,Equus caballus,dsDNA,Rhadinovirus
603,AFA46655.1,Adenoviridae,Adenoviridae,Adenoviridae,93,0.009048919627106671,500.0,485.96,11.93,913,0.005,DNA-binding protein,DNA-Binding,Homo sapiens,dsDNA,Mastadenovirus
604,NP_054697.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,92,0.008951619416062514,2270.0,1278.98,1039.18,4728,0.025,polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Henipavirus
605,YP_002647021.1,Betaflexiviridae,Betaflexiviridae-Alphaflexiviridae-Potyviridae,Betaflexiviridae,92,0.008951619416062514,1932.0,1790.93,458.92,6960,0.036,replicase,Replication-Transcription,Allium sativum,ssRNA(+),Carlavirus
606,QXI73301.1,Baculoviridae,Baculoviridae-Orthomyxoviridae,Baculoviridae,92,0.008951619416062514,532.0,498.23,82.91,993,0.005,gp64,Other-Functions,Bombyx mori,dsDNA,Alphabaculovirus
607,YP_009165496.1,Bornaviridae,Bornaviridae,Bornaviridae,92,0.008951619416062514,511.0,485.6,60.79,934,0.005,glycoprotein,Glycoprotein,Homo sapiens,ssRNA(-),Orthobornavirus
608,YP_008130302.1,Solemoviridae,Solemoviridae-Luteoviridae,Solemoviridae,91,0.008854319205018356,1323.0,909.16,390.64,2970,0.016,peptidase,Replication-Transcription,Pisum sativum,ssRNA(+),Enamovirus
609,QAA77585.1,Reoviridae,Reoviridae,Spinareoviridae,91,0.008854319205018356,1293.0,1222.07,261.78,4446,0.023,lambda-2 protein,Other-Functions,Sus scrofa,dsRNA,Orthoreovirus
610,YP_009029998.1,Flaviviridae,Flaviviridae,Flaviviridae,91,0.008854319205018356,754.0,550.58,221.64,1266,0.007,putative glycoprotein,Glycoprotein,Rhipicephalus microplus,ssRNA(+),Undefined genus
611,AUS94757.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,90,0.008757018993974198,3602.0,2856.03,1110.03,11531,0.06,large tegument protein,Structural-Envelope,Equus caballus,dsDNA,Varicellovirus
612,YP_009259667.1,Tombusviridae,Tombusviridae,Tombusviridae,90,0.008757018993974198,852.0,647.21,239.9,1666,0.009,RNA-dependent RNA polymerase,Replication-Transcription,Beta vulgaris,ssRNA(+),Tombusvirus
613,QHE24171.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,90,0.008757018993974198,689.0,616.87,52.3,1489,0.008,nuclear antigen EBNA-1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
614,QGN68052.1,Poxviridae,Poxviridae,Poxviridae,90,0.008757018993974198,597.0,569.28,88.56,1273,0.007,CPXV088 protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
615,YP_008378340.1,Baculoviridae,Baculoviridae,Baculoviridae,90,0.008757018993974198,421.0,406.71,24.17,537,0.003,alkaline exonuclease,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
616,ASH99277.1,Iridoviridae,Iridoviridae-Ascoviridae,Iridoviridae,89,0.00865971878293004,1323.0,1214.27,182.0,4138,0.022,DNA-dependent RNA polymerase II largest subunit,Replication-Transcription,Ambystoma tigrinum,dsDNA,Ranavirus
617,QRE02518.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,89,0.00865971878293004,621.0,457.82,101.51,855,0.004,BGLF5,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
618,QYD01972.1,Anelloviridae,Anelloviridae,Anelloviridae,89,0.00865971878293004,589.0,547.21,18.6,1144,0.006,ORF1,Other-Functions,Lynx canadensis,ssDNA(-),Etatorquevirus
